name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Hugo Boss - Visit Casual - HB153.0301,Visit Casual,"
      Hugo Boss","EGP 10,110.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,HB153.0301
Hugo Boss - Grip - HB153.0276,Grip,"
      Hugo Boss","EGP 12,700.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,HB153.0276
Calvin Klein - Aqueous - 25200385,Aqueous,"
      Calvin Klein","EGP 11,950.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200385
Calvin Klein - Slate - 25200260,Slate,"
      Calvin Klein","EGP 10,950.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200260
Calvin Klein - Sport 3HD - 25200207,Sport 3HD,"
      Calvin Klein","EGP 9,950.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,25200207
Frederique Constant - Classics - FC - 270N4P6B,Classics,"
      Frederique Constant","EGP 56,490.00",Men,Switzerland,Quartz,Stainless Steel,Stainless Steel,Mineral,FC-270N4P6B
Tommy Hilfiger - Juliette - 178.2644,Juliette,"
      Tommy Hilfiger","EGP 11,500.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,178.2644
Tommy Hilfiger - Juliette - 178.2642,Juliette,"
      Tommy Hilfiger","EGP 11,500.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,178.2642
Tommy Hilfiger - Men Gift set - 277.0149,Men Gift set,"
      277.0149","EGP 13,725.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,277.0149
Tommy Hilfiger – San Diego Le Watch - 179.2041,San Diego Le Watch,"
      Tommy Hilfiger","EGP 6,900.00",Men,China,Quartz,Plastic,Nylon,Mineral,179.2041
Tommy Hilfiger - Houston - 179.2033,Houston,"
      Tommy Hilfiger","EGP 6,900.00",Men,China,Quartz,Plastic,Rubber,Mineral,179.2033
Tommy Hilfiger - Paige - 178.2546,Paige,"
      Tommy Hilfiger","EGP 12,805.00",Plated Stainless Steel,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,178.2546
Tommy Hilfiger - Dexter - 179.2088,Dexter,"
      Tommy Hilfiger","EGP 13,500.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.2088
Tommy Hilfiger - Clark - 179.2084,Clark,"
      Tommy Hilfiger","EGP 11,900.00",Rubber,China,Quartz,N/A Quartz,R,Mineral,179.2084
Tommy Hilfiger - Clark - 179.2083,Clark,"
      Tommy Hilfiger","EGP 13,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,179.2083
Lacoste - Endurance - 2011218,Endurance,"
      Lacoste","EGP 11,500.00",Men,China,Quartz,Lonic Plated Black Steel,Rubber,Mineral,2011218
Lacoste - 12.12 Chrono - 2011246,12.12 Chrono,"
      Lacoste","EGP 8,900.00",Men,China,Quartz,Plastic,Silicone,Mineral,2011246
Lacoste - 12.12 - 2011245,12.12,"
      Lacoste","EGP 8,900.00",Men,China,Quartz,Resin,Silicone,Mineral,2011245
